Message,label
mimi kuwa na hisia nzuri juu ya nyumba hii .,ham
huyu ni mwanachama wa chama gani,ham
labda alijua wakuu wa mikoa hawana viuno,ham
"wataalamu wa psychology na mahusiano,,naomba kuuliza",ham
pete ya harusi !,ham
fanya kila jambo ila utakufa tu,ham
"sawa , umeeleweka",ham
unapojua ni kiasi gani adui usie muona anakupiga ni muhimu ili uongeze kasi ya kinga,ham
hakuna usafiri wa moja kwa moja lakini unaweza,ham
ila wanawake tue makini sana,ham
basi gani? lonatoka wapi kuelekea wapi?,ham
unajua tofauti ya kulalamika na kuhoji,ham
nadhani mila na desturi zao pia zinachangia sana!,ham
uzuri wa wanawake nowdays unategemeana na ubora wa simu yake,ham
"hata hivyo, mpango wa mwanadada huyo uligonga mwamba jamaa alipompuuza kwa sababu alikuwa akijua tabia yake ya kunyemelea wanaume.",ham
acha wagawane wao wenyewe kwanza iwe sehemu ya majaribio.!,ham
kama umewaona watu wenye rangi mbili gonga like,ham
"kusudi lako hapa duniani ulikuja kumuabudu mungu, kijana focus kwenye ibada sana....",ham
"madereva wa vyombo vya moto, waendesha baiskeli, na watembea kwa miguu nawakumbusha tuwapo barabarani tukumbuke kutii sheria ",ham
mwaka huu nataka njmpende mtoto wa mtu mpaka aniambie,ham
hii ni kiboko!hata la kusema sinalo,ham
matangazo ndo mishahara yao jamn wabongo tuelewege kha,ham
tuna wagonjwa wangapi wa corona mpaka sasa?,ham
unapoamua kuingia kwenye mahusiano unatarajia kupata vitu gani kwa huyo mtu?,ham
kila mtu anapaswa kuchukua hatua stahiki.,ham
katafute video ya performance ndo utaona kweli kaonewa au hapana!,ham
maza akiamua aisee mzee mbona huna chakoo...,ham
ndo kwanza hata hazijatua chato kwa uchunguzi zaid ..maana mahabara ime hamia chato,ham
kama ametambua kosa lake anastahili kusamehewa,ham
ieleweke kuwa kutofautiana kwa mawazo ni jambo la kheri wala si uhaini.,ham
awamu hii kueleweka siyo rahisi. unaweza ukamsifia baada ya dk 5 akakuchefua.,ham
nipeni mimi hiyo nyumba!,ham
"upendeleo haujawah kumdidimiza mwanaume, kumfanya ashindwe kujiamn",ham
"mafanikio sio ajali, bali ni kujituma, kujifunza, kujitoa na zaidi kabisa ni kupenda kile unachokifanya.",ham
write your reply...wayaaaaaa,ham
mungu akupe watu wa kuikumbuka na kusherekea uwepo wako duniani ukiwa hai,ham
tcra walione hili ni tatizo sana ulevi wa internet unaizidi sigara,ham
wewe ulizaliwa kwa highway juu huko ndo ajali mob hutokea,ham
ngoja tusubiri kiongozi mkuu wa dini zote atasemaje kuhusu hizi tahadhari.,ham
ulevi utanywea hata garden,ham
"nina hii hali, nikikaa kwenye biashara ya mtu mfano duka siku hiyo lazima wateja wawe wengi.",ham
sio kwamba nguvu ya usa inatokana na ku print dollar.,ham
kama kuna mtu bado anabisha bidha kuwa hakuna korona basi soon atakutana nayo,ham
duru zinasema jamaa huyo amekuwa akifanya kazi katika mji wa mbali na huishi huko na familia.,ham
sie yetu macho kwa ubabaishaji wenu halina muda hilo kuporomoka kabla halijaisha.,ham
bali nia yetu ni kutaka kubadili ile hali iliyopo katika familia zetu.,ham
hata sijaelewa.,ham
?hapa ni mpaka asubuhi ifike na kila kitu kimeeleweka.,ham
ni mda wa mkulima sasa kujulikana????,ham
nimekumbuka lowassa alivyohadhikiwa afya yake,ham
"tusonge mbele, one day tutakuja kutambua alichokipigania jpm.",ham
mkuu sjawahi linda interest ya chama chochote.,ham
nairobi ni hatari,ham
taarifa....,ham
ebu mwenye historia yake akuje hapa mbele kwanza.,ham
kuna umri flani ukifikia kama kijana ni vyema utafute binti mmoja mtengeneze chemistry yenu mjengane kimaisha katika misingi ya uwazi,ham
matangazo ya nguvu za kiume yameathiri saikolojia za wafanyabiashara wengi.,ham
roho mtakatifu aendelee kukupigania kama anavyowapigania wana wa israeli.,ham
kufuata sheria za barabarani na kuzingatia vibao vyote vinavyoonyesha alama za barabarani hii itasaidia kupunguza ajali kwa kiasi fulani.,ham
?hii ndio sababu kubwa imenisukuna niandike ushauri wangu huu.,ham
lakini yote sikujali niliamua kufunga safari na kuelekea kwa bibi kijijini.,ham
"huu ni ukweli mtupu, bado hatujaelimika tunahitaji kuelimika",ham
mi nimesoma kidogo imani za kibuda na hata zile five prisets(sheria)/misingi yao,ham
wizara ya afya imetoa ufafanuzi wa kina kuhusu masuala mbalimbali yahusuyo chanjo ya covid-19.,ham
kumekucha,ham
mungu wetu ulie mbinguni jina lako litukuzwe ameen.,ham
"tangu kuzuka kwa kile kinachosemwa wimbi jipya la maambukizi ya virusi vya corona, kumeshudiwa taasisi mbalimbali zikitoa waraka wa tahadhari ",ham
binafsi niliziba jino tangu 2005.,ham
urafiki/mahusiano ni gharama sana. hakikisha unayatunza ili yalete tija.,ham
sisi wa madibira iringa vijijini huku tunapataje huduma za ttcl?,ham
"siku mpya. kuna mengi unakimbizana nayo. kuna kipato hakijakaa sawa, kuna mgonjwa unauguza, kuna mahusiano yanakutatiza",ham
"ilikua mwaka 2007 kuna demu alituchanganya wanaume watatu na wote tunaishi mtaa mmoja,",ham
ataipata wapi?,ham
matunda mengi yana manufaa lakini tango tunasema limetia fora.,ham
nimeachwa solemba,ham
huyu hana nyota ya pesa hata akienda huko ataendelea kuwa wa mchangani tu,ham
wewe itakuwa dalali.....,ham
utopo wameshawaachia nafasi michezo mitatu tayari,ham
"zamani ilikuwa bila kikomo, nilikuwa nadownload mizigo ya kutosha",ham
"tafadhali rejea kichwa cha habari hapo juu, kwa muda sasa nimekuwa nikifuatilia hii biashara",ham
yale maambukizi ya jioni baada ya bia ndio yatakuwa hatari...sijui kama barakoa itazuia,ham
hata hasira na egoism zinaisha unapokula chakula kisicho na umwagaji damu.,ham
nimefuatilia kwa muda mrefu kuhusu ahadi alizotoa mzee sabodo ya kuchimba visima vya maji.,ham
habari za mchana,ham
apo kwenye mahusiano mtumishi...ungeandika kwa herufi kubwa???????,ham
msamaha huponya kuliko mapambano.,ham
"tanzania hakuna coronavirus, vifo ni changamoto za kushindwa kupumua na pneumonia.",ham
who yaitaka tanzania kutekeleza kanuni za afya kudhibiti maambukizi,ham
biashara inataka kubembeleza eti.,ham
huyu dada ni mtangazaji mzr sn sijui anafanya kazi gn?,ham
hata wewe siku yako ikifika utakufa2 iwe kwa corona iwe kwa ukimwi iwe kwa malaria iwe kwa ajali utakufa tu.,ham
virusi vya corona na jamii yake sio vipya duniani.,ham
tanzania huwa haitoi taarifa zozote kuhusu maambukizi ya virusi vya corona.,ham
akipunguza ulevi game kama hizi atakua anaanza mwanzo mwenga,ham
unajua kesi ya kushambulia ni muda gani jela?,ham
msamaha ni kitu kidogo lakini kina thamani sana,ham
watakubali ccm,ham
mhhh hii habari nzito nyuma yake,ham
"kuwa single ni mateso, kama wewe umepata nafasi kaa huko huko kwenye mahusiano usijichanganye kabisa????????",ham
ni baada ya kusota mtaani kwa muda mrefu hivyo hizo kazi wanazofanya wanaona kama wamezipata kimiujiza....,ham
kama kawaida yake,ham
"utapenda kunyoosha miguu yako?, twende pamoja mazoezini",ham
ndio maana mnaambiwa jengeni mifumo badala ya personalities.?,ham
zeruzeru alijua onyango anakosa penait ndo maana akaficha sura,ham
hivi wewe ndio unamiliki hospital mtu akitibiwa afu usilipwe kisa kafa utaelewa?,ham
tumeona vema tuweke urahisi wa mtu kuomba kuwa verified badala ya utaratibu wa awali.,ham
hasa nikiwa nakwenda kwenye mahusiano nisiyoyajua hapo siwezi kuwahi au kuchelewa. ????????,ham
wakati amemwambia pole sana kwa sindano,ham
katika hali kama hiyo kuna watu bila kutaka ndo wanaongoza nchi.,ham
hawakulamba wala nini,ham
ulevi haina timetable,ham
aisee huu mwaka uheshimiwe,ham
ili kuokoa au kuimarisha mahusiano wakati mwingine ni lazima mmojawapo ajishushe au ajifanye mjinga.,ham
chukua tahazali wewe mwenyewe ukifa unakufa peke yako unaiacha hyo serkali,ham
naona akili zinarudi kichwani taratibu maana zilikimbilia kwenye nyayo. tumsikie na chalamila.,ham
mungu ninusuru na kizazi changu,ham
kama waaamerika tuna wajibu wa kuchagua kiongozi. ananukuu kitabu cha buhar akizungumzia value za viongozi.,ham
"andaa hela mfuko wa shati, hakuna chakula cha bure",ham
" kuna wizara ya mahusiano na ndoa , takuteua kuwa waziri kwa nondo hizi",ham
mitihani ni mingi,ham
hiyo clip ya mwanamke anaongea ni tofauti na ya ajali. kwanza ajali imetokea usiku na si muda wa mwanga.,ham
mwanaume hakimbiagi matatizo,ham
"ndugu zangu, nini kitatokea tukikataa misaada kutoka nje na tukajipinda wenyewe?",ham
saikolojia sahihi ya mapenzi.,ham
awajalamba kweli?????a?????a,ham
leo ndo kipimo cha kimataifa,ham
shida ni wewe ulietaka ushahidi....,ham
mkuu wewe unaishi maeneo gani?,ham
"msaidieni huyu baba kwenye matangazo ya watoto kwani watafurahi sana tena sana,,",ham
mungu niepushe na balaha kama hizi,ham
hayo yamezungumzwa katika ziara mkuu wa wilaya,ham
wale wenye moyo mwema na nchi yetu!!! naomba msivunjike moyo..,ham
eventually zitauzwa.....ni biashara kama za madawa mengine tu.,ham
hizi ndizo sera dhabiti za chukua chako mapema,ham
sidhani kama kuna ufisadi sikuizi,ham
tunawapenda lakini nanyi jipendeni jamani.,ham
leo ndo nimejua km umejikoroga nilijua ni rangi yk kuzaliwa nayo,ham
mwenye mwanga juu ya hili anisaidie tafadhali.,ham
wanasingida mpo?,ham
watu hawasikiki lakini wapo,ham
nimekuwa kuangalia mbele kwa muhula mpya .,ham
ndiyooo hongera sana dada wakae ndani wapumbavu.,ham
"alijisikia mwenye furaha, hofu na mwenye huzuni kwa taarifa alizopewa. ",ham
sawa mama hotuba yako ni nzuri sana lakini kwenye kipengele cha mishahara kuongeza huku mtaani tutaingia sana maana vitu vitapanda bei wakati wengine hatutarajii kuongezewa mishara hata kidogo,ham
"hongera sana, waziri kwa kaz nzuri unayoifanya, wanyooshe kabsa maana sis huku chin tunaumia kweli kwa uzembe waoo",ham
"ila mimi nimependa sana ushirikiano wa boda boda kwa walicho kifanya, watu tunapenda maiti kuliko alipokuwa mzima.",ham
natamani tukupe miaka 20 utunyooshee hawa watu wako. wanatunyanyasa sana watendaji wako.,ham
" furaha sana. chakula cha jioni ilikuwa nzuri,  mahali pazuri. mbaya sana odira aliumwa baadaye.",ham
"oh , mungu wangu. ni nzuri, lakini inaonekana ni gharama kubwa .",ham
nimecheka kifala apa watu tupo kweny majonzi alaf mtu analeta utani,ham
"ndugu waliandaa sherehe ya kumpata dada yao mdogo, lakini furaha yao ilikuwa ya muda mfupi baada ya kufariki.",ham
asante sana na pole dear,ham
"kwa bahati nzuri , hakuna mtu aliyekufa .",ham
"kwa marafiki zangu wote: mnisamehe ndo naondoka, nitawakumbuka sana sana sana!",ham
"umenipa tabasamu ,maana nimejawa majonzi ",ham
"palitetemeka sana kwa shangwe za watu wengi waliokwepo pale, hata mshumaa mmoja ulianguka katika majani na ksababisha moto",ham
hongereni majirani...huku siku izi ukimwaga foundation tu utautambua uwepo wa watoza ushuru,ham
hakuna kubembeleza tumbua tu muda ni pesa,ham
"bora umekuja, ingia tafadhali. mashine ya kufua ipo juu ghorofani, inazidi tuu kuharibika.",ham
mpo sahihi vijana endeleen na moyo huo hiyo mijitu yenye roho mbaya itabadilika mme waaibisha sana mapepo hao,ham
hao ni wabunge wa maana sio kuwa na wabunge wakisisinzia tu,ham
"kwanini isiwe kama hivo, nimeipenda?",ham
"hey , ile ilikuwa mada nzuri ! kusema kweli , ulunimaliza kabisa kwa namna ulivyopangilia muhtasari wa mikakati . acha niseme, alex , umenikosha leo .",ham
"duu,,mkapa anaokena kama ndoo mkubwa kuliko wotee,,,mmmhh jamani mamanyerere chuma cha reli cha mkolonii hazeekiii,,bado ananguv kama zote na mzee mwinyii",ham
makubwa aya madogo yako mfukoni,ham
"ni bahati gani hii ya kupata! eheh,gharama yake ni kiasi gani?",ham
hawa viumbe ni wa kushangaza !,ham
kama sio jumatatu leo ujue maana sio kwa furaha hii??,ham
hakika hii hotuba imejaa historia ambayo wengi hatukuwahi kuijua,ham
"habari kathy ! nafanya mazoezi yangu ya asubuhi, yoga! umeamka mapema leo kuna usalama kweli?!!.",ham
unataka kuniambia kuwa kuna maelfu ya watu hapa?!!.,ham
kweli ? sawa !,ham
wewe unajua kubet. na tumepata elfu nne kwa ajili ya nafasi ya gari yetu! inashangaza!,ham
nimepata sauti nzuri ya kuimba na kumtoa nyoka pangoni!,ham
unamaanisha nimefanya vizuri hivo?,ham
" kiasi kikubwa cha samaki kinaweza kuonekana kupitia maji safi, iking'aa kwenye miale ya jua; walishangaa kabisa walipokuja ghafla juu ya muonekano huo usiyotarajiwa.",ham
"wow , kwamba itakuwa rahisi sana, kodi ni kiasi gani ?",ham
naanza kukufuatilia kaka..kumbe wapo watu wenye akili tanzania,ham
ni kweli? hongera sana!,ham
hii ni mara ya kwanza-wewe kutokuomba punguzo toka tuanze biashara !,ham
kumbe kuna muda unakua mzima weeeeee hahahaaaa,ham
maarifa yako ya kiingereza ni kweli ajabu .,ham
"kwa upendo na amani,  lakini kabla ya kuanza ,nataka kujua kwa nini mnataka kushindana baiskeli?",ham
tumekutana tena hapa leo baada ya miaka kadhaa,ham
ni nzuri. lakini ni aina gani ya mavazi unayotafuta?,ham
"asante ila huwa napenda kuwa nae karibu mda wote, akiamka tuu anione mimi kwanza",ham
hiyo ni faraja kubwa. mimi nilikuwa na wasiwasi kuhusu yeye .,ham
hiyo ni faraja kubwa . mimi nilikuwa na wasiwasi kuhusu yeye.,ham
"sanaa ya ushairi, ilionyesha hisia mchanganyiko za ushindi juu ya ushindi wa zamani na hofu ya ujasusi wa baadaye ambao waliongoza. ",ham
mtu anaweza kufurahia sana lakini inaweza kuwa jambo la hatari kufanya.,ham
umekuja mahali sahihi. ondoa wasiwasi kaa hapo upumzike kwanza?,ham
upande wa kushoto wanafuraha kama chama tawala na kulia majonz na hofu tupu hawana matumaini,ham
tuendelee kuchapa kazi ndugu zangu tena kwa furaha isiyo na kifani.,ham
ilikuwa matarajio ya kupata dhahabu ambayo yaliwachochea wanaume hawa wenye usongo wa maisha kufanya juhudi kubwa za kufungua kampuni,ham
nafurahi sana kwa kuwa umeipenda,ham
mmoja kati ya watu ninao wakubali hapa nchini ambao ni wanasiasa wewe ni wa pili ukitanguliwa na jp,ham
vizuri kabisa haiwezekane mtu akiwa mzima hawamjali sasa akifa siku ya msiba unakuta wakipinga chakula ni heri walimwanga chakula walifanya vizuri sana haki ya  mungu  ????????????,ham
"blackfriday ilimalizika na mauzo yalienda kwa sana, faida ilikuwa nzuri na kubwa hadi tulipewa day-off",ham
"alizidi kuwa na furaha, na kutulia zaidi.",ham
aya ndio mambo tulikuwa tunayataka ongera sana baba la baba,ham
kaongea point kabisa ningekuwa mimi ndo ninadhamana ya kufanya maamuzi,ham
"katika siku 10 za mwisho za uchaguzi huo, hata hivyo, alikua mwenye furaha zaidi, ingawa watoto walibaki bila kujua. ",ham
"ndege mapema huwa wanakamata visamaki, nafurahia kutazama.",ham
leo umejua kunichekesha...lol,ham
"ilikuwa ni furaha , bibi . robinson .",ham
ataendelea kuwa mwanasiasa machachari nje ya ulingo for the rest of his life.,ham
"inaokoa sana..,mi nilipata ajali ma subaru impreza hiyo kitu ikaniokoa",ham
yani wewe hizo shughuli zako haziishi mara soda umetoka ufagio mara nguo si begi usijui unatafuta nini,ham
"hiyo nguo ni nzuri haswa, usiivue..",ham
"wooh, panang'aa na ni pasafi. kuta pia zimepakwa rangi mpya",ham
"kusema kweli, mama yangu alitengeneza kuanzia mwanzo",ham
asante . najaribu kuweka katika sura nzuri.,ham
anajua vitu hatariii kumdanganya sio rahisii,ham
"akigonga, akijaribu kushikilia maharamia watano na kula barafu-barafu, perdita hakuonewa. ",ham
kitanda kidogo cha wageni nyumbani kilitayarishwa kwa ajili yake,ham
kwenye elimu hapo kimei umeongea vyema,ham
" kaizari alifurahi sana kwamba alitangaza usiku wa manane anapaswa kuwa na kitambaa chake cha dhahabu cha kuvaa shingoni mwake, lakini alikataa heshima hiyo kwa shukrani: alikuwa ameshapewa tuzo ya kutosha.",ham
hili gauni ni kwa ajili yako. natumaini utalipenda.,ham
nimependa skirt yako mpya .,ham
najivunia kuzariwa mwanamke allahmdulillah ??????? allah akurinde mama yetu kipenzi chetu rais wetu,ham
nina uhakika. hebu tununue utafurahia .,ham
hey ni wewe ? kwa muda mrefu hatujaonana !,ham
alionekana kuwa na furaha.,ham
umefanya jambo jema sana leo kumtambulisha mke wako hadharani na pia kumshukuru hadharani.,ham
dada mungu akubariki sana kwa kuamua kusema ukweli naamini utasamehewa,ham
alimkumbatia na kulia kwa furaha aliyokuwa nayo,ham
`nilifurahishwa sana.,ham
"chochote ninachotaka, yeye anataka, na amefurahiya. ",ham
"shukrani, mimi pia nimeipenda. nimenunua katika duka la hapa jirani.",ham
wanapendana sana hadi kuna muda unawaonea wivu,ham
"nimletewa  chips na viazi, njoo tule pamoja kama hutojali?",ham
"bwana, hii ni sehemu yangu pendwa ya sandwich ummm je, umechukua picha?",ham
asante mtangazaj mana ndio nimejuwa leo kama kapten alienda kulala alafu meli inaenda yenyewe si kwa uzembe huu,ham
afadhali binti jamani. pole kwa mapambano.,ham
noooooooooooo mimi naaangalia mengi ya picha lol lol,ham
"bodaboda vijana woteee mmenifuraishaaaa sanaaaa,,,awalambiiiiiiii",ham
"ogopa mtu aliesomea urusi, hawanaga mchezo wale!",ham
mahaba mahabani,ham
"katika mechi ambayo yanga wamecheza vzur kwenye mapinduz cup, ni mechi hii ya simba pekeyake",ham
nilichoka nikaamua kupumzika hahaaaa sema tupo wengi ajira hakuna kaa umfulie mume nguo,ham
wewe ni jembeee sana,ham
" mtoto wake mzuri, na aliyekuwa na moyo mwema zaidi; alikuwa anampenda sana",ham
"hahahaaa, yaan nimecheka jamn mpaka machozi.",ham
umeongea ukweli mtupu mpaka ndugai mwenyewe siku hizi anakukubali anabaki anacheka,ham
"mzee baba, unapiga maswali kiprofessional kweli kweli. hongera kwa kazi nzuri.",ham
naomba namba ya kishimba tafadhali nina zawadi yake...kwani sifa za uwaziri ni nni,ham
"shinikiza nyingi inaweza kupita au bila kujua kuwekwa kwa watoto waliokua, kuwapa wajukuu kwa kufurahisha babu",ham
